index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,esm_case,input_budget,input_2,input_1,input_spat,port_rast,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
0,1.0,0.0,0.0,2.527977,2e-06,-0.000545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif
1,0.75,0.25,0.0,2.527977,2e-06,-0.000545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif
2,0.5,0.5,0.0,2.527824,0.000979,0.003515,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif
3,0.25,0.75,0.0,2.485109,0.020579,0.13978,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif
4,0.0,1.0,0.0,-2.399219,0.259452,4.02374,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif
5,0.75,0.0,0.25,2.455346,0.021688,0.255153,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif
6,0.5,0.25,0.25,2.230043,0.059879,0.769576,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif
7,0.25,0.5,0.25,0.733971,0.160816,2.590092,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif
8,0.0,0.75,0.25,-3.231243,0.238531,4.50726,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif
9,0.5,0.0,0.5,1.050994,0.140714,2.289411,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif
10,0.25,0.25,0.5,-1.426468,0.224986,4.123869,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_6.25e+08.tif
11,0.0,0.5,0.5,-3.300041,0.233185,4.517159,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_6.25e+08.tif
12,0.25,0.0,0.75,-1.83576,0.229109,4.28981,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_1_4_6.25e+08.tif
13,0.0,0.25,0.75,-3.330513,0.231398,4.518382,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_6.25e+08.tif
14,0.0,0.0,1.0,-3.325045,0.23035,4.518545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_1_4_6.25e+08.tif
15,1.0,0.0,0.0,4.685569,3e-06,-0.00146,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.25e+09.tif
16,1.0,0.0,0.0,6.541469,3e-05,0.00301,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.875e+09.tif
17,0.75,0.25,0.0,6.541469,3e-05,0.00301,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_1.875e+09.tif
18,0.5,0.5,0.0,6.53752,0.003767,0.023425,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_1.875e+09.tif
19,0.25,0.75,0.0,6.4797,0.031862,0.248075,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_1.875e+09.tif
20,0.0,1.0,0.0,-4.452676,0.399398,7.151697,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_1.875e+09.tif
21,0.75,0.0,0.25,6.395626,0.04456,0.575029,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_1.875e+09.tif
22,0.5,0.25,0.25,6.115701,0.088638,1.227927,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_1.875e+09.tif
23,0.25,0.5,0.25,4.601658,0.185359,3.0988,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_1.875e+09.tif
24,0.0,0.75,0.25,-5.559405,0.373948,7.80129,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_1.875e+09.tif
25,0.5,0.0,0.5,4.956949,0.163518,2.765255,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_1.875e+09.tif
26,0.25,0.25,0.5,-0.146302,0.316596,6.245941,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_1.875e+09.tif
27,0.0,0.5,0.5,-5.639649,0.369395,7.810582,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_1.875e+09.tif
28,0.0,0.25,0.75,-4.633474,0.311985,6.406868,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_1.25e+09.tif
29,0.75,0.25,0.0,4.685569,3e-06,-0.00146,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_1.25e+09.tif
30,0.5,0.5,0.0,4.685416,0.00098,0.002599,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_3_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_1.25e+09.tif
31,0.25,0.75,0.0,4.644029,0.021774,0.148775,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_4_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_1.25e+09.tif
32,0.0,1.0,0.0,-3.483824,0.343058,5.788622,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_5_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_1.25e+09.tif
33,0.75,0.0,0.25,4.608454,0.024704,0.291473,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_6_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_1.25e+09.tif
34,0.5,0.25,0.25,4.367499,0.065222,0.841974,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_7_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_1.25e+09.tif
35,0.25,0.5,0.25,2.60846,0.179333,2.977099,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_8_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_1.25e+09.tif
36,0.0,0.75,0.25,-4.537625,0.318938,6.395739,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_9_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_1.25e+09.tif
37,0.5,0.0,0.5,2.985317,0.157022,2.622359,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_10_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_1.25e+09.tif
38,0.25,0.25,0.5,-1.170737,0.286834,5.518237,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_11_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_1.25e+09.tif
39,0.0,0.5,0.5,-4.601509,0.313838,6.405652,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_12_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_1.25e+09.tif
40,0.25,0.0,0.75,-2.543034,0.307057,6.11336,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_13_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_13_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_1_4_1.25e+09.tif
41,0.0,0.0,1.0,-4.643249,0.310569,6.407083,1,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_15_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_15_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_1_4_1.25e+09.tif
42,0.0,0.25,0.75,-5.657052,0.367223,7.812017,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_14_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_1.875e+09.tif
43,0.0,0.0,1.0,-5.671624,0.365715,7.812259,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_15_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_15_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_1_4_1.875e+09.tif
44,0.25,0.0,0.75,-3.048027,0.360817,7.447891,1,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_13_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_13_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_1_4_1.875e+09.tif
45,1.0,0.0,0.0,2.527977,2e-06,-0.000545,2,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_1_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_2_4_6.25e+08.tif
46,0.5,0.5,0.0,4.678848,0.011357,0.042809,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_3_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_2_4_1.25e+09.tif
47,0.25,0.75,0.0,4.327399,0.182869,0.867729,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_4_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_2_4_1.25e+09.tif
48,0.75,0.0,0.25,4.608454,0.059589,0.291473,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_6_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_2_4_1.25e+09.tif
49,0.5,0.25,0.25,4.290358,0.19057,0.977317,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_7_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_2_4_1.25e+09.tif
50,0.25,0.5,0.25,1.648672,0.652619,3.770737,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_8_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_2_4_1.25e+09.tif
51,0.0,1.0,0.0,-4.045737,1.047388,6.227644,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_5_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_2_4_1.25e+09.tif
52,0.5,0.0,0.5,2.985317,0.460733,2.622359,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_10_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_2_4_1.25e+09.tif
53,0.25,0.25,0.5,-1.543389,0.938507,5.69529,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_11_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_2_4_1.25e+09.tif
54,0.0,0.5,0.5,-4.577108,1.025364,6.403948,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_12_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_2_4_1.25e+09.tif
55,0.0,0.75,0.25,-4.471902,1.034332,6.386181,2,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_9_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_2_4_1.25e+09.tif
