index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,frontier_id,input_budget,input_2,input_1,input_spat,port_rast,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs,AWY_1_rast_abs,SDE_2_rast_abs,SDL_3_rast_abs,terracing_npix,grass_strips_npix,riparian_mgmt_npix,agroforestry_npix,reforestation_npix,road_mitigation_npix,terracing_frac_area,grass_strips_frac_area,riparian_mgmt_frac_area,agroforestry_frac_area,reforestation_frac_area,road_mitigation_frac_area,terracing_frac_alloc,grass_strips_frac_alloc,riparian_mgmt_frac_alloc,agroforestry_frac_alloc,reforestation_frac_alloc,road_mitigation_frac_alloc,terracing_budg,grass_strips_budg,riparian_mgmt_budg,agroforestry_budg,reforestation_budg,road_mitigation_budg
0,1.0,0.0,0.0,2.527977,2e-06,-0.000545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif,0,0,395,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,624416000,0,0,0
1,0.75,0.25,0.0,2.527977,2e-06,-0.000545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif,0,0,395,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,624416000,0,0,0
2,0.5,0.5,0.0,2.527824,0.000979,0.003515,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif,0,1,395,0,0,0,0,0.00252525252525,0.997474747475,0,0.0,0.0,0,0.000307392796762,0.999692607203,0,0.0,0.0,0,192000,624416000,0,0,0
3,0.25,0.75,0.0,2.485109,0.020579,0.13978,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif,0,42,390,0,0,0,0,0.0972222222222,0.902777777778,0,0.0,0.0,0,0.0129111589302,0.98708884107,0,0.0,0.0,0,8064000,616512000,0,0,0
4,0.0,1.0,0.0,-2.399219,0.259452,4.02374,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif,0,3222,0,0,4,0,0,0.998760074396,0.0,0,0.00123992560446,0.0,0,0.989882025233,0.0,0,0.0101179747665,0.0,0,618624000,0,0,6323200,0
5,0.75,0.0,0.25,2.455346,0.021688,0.255153,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif,0,63,387,0,0,0,0,0.14,0.86,0,0.0,0.0,0,0.019388791432,0.980611208568,0,0.0,0.0,0,12096000,611769600,0,0,0
6,0.5,0.25,0.25,2.230043,0.059879,0.769576,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif,0,292,359,0,0,0,0,0.448540706605,0.551459293395,0,0.0,0.0,0,0.089907936736,0.910092063264,0,0.0,0.0,0,56064000,567507200,0,0,0
7,0.25,0.5,0.25,0.733971,0.160816,2.590092,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif,0,1722,186,0,0,0,0,0.90251572327,0.0974842767296,0,0.0,0.0,0,0.529292432532,0.470707567468,0,0.0,0.0,0,330624000,294028800,0,0,0
8,0.0,0.75,0.25,-3.231243,0.238531,4.50726,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif,0,3255,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,624960000,0,0,0,0
9,0.5,0.0,0.5,1.050994,0.140714,2.289411,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif,0,1421,222,0,0,0,0,0.864881314668,0.135118685332,0,0.0,0.0,0,0.437392267914,0.562607732086,0,0.0,0.0,0,272832000,350937600,0,0,0
