"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0,0,1,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,1
0.25,0,0.75,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,2
0.5,0,0.5,0,979.79878234315,2599.42143959347,4685416.01583542,1249024000,1,0,1,790,0,0,0,0,0.00126422250316056,0.998735777496839,0,0,0,0,0.000153720024595204,0.999846279975405,0,0,0,0,192000,1248832000,0,0,0,3
0.75,0,0.25,0,21773.6890508687,148775.249264939,4644029.34283412,1249952000,1,0,47,785,0,0,0,0,0.0564903846153846,0.943509615384615,0,0,0,0,0.00721947722792555,0.992780522772074,0,0,0,0,9024000,1240928000,0,0,0,4
1,0,0,0,343057.622821482,5788621.6556215,-3483823.65670308,1249849600,1,0,6452,0,0,7,0,0,0.998916240904165,0,0,0.00108375909583527,0,0,0.991146454741434,0,0,0.00885354525856551,0,0,1238784000,0,0,11065600,0,5
0,0.25,0.75,0,24703.870368756,291472.869457971,4608454.00237468,1249772800,1,0,79,781,0,0,0,0,0.0918604651162791,0.908139534883721,0,0,0,0,0.0121366059494974,0.987863394050503,0,0,0,0,15168000,1234604800,0,0,0,6
0.25,0.25,0.5,0,65222.0545183548,841973.946243537,4367498.88185707,1249491200,1,0,341,749,0,0,0,0,0.312844036697248,0.687155963302752,0,0,0,0,0.0523989284598403,0.94760107154016,0,0,0,0,65472000,1184019200,0,0,0,7
0.5,0.25,0.25,0,179333.40475995,2977099.24895998,2608459.84943977,1249113600,1,0,2208,520,0,2,0,0,0.808791208791209,0.19047619047619,0,0.000732600732600733,0,0,0.339389467859449,0.658079457304764,0,0.00253107483578755,0,0,423936000,822016000,0,3161600,0,8
0.75,0.25,0,0,318937.808165381,6395739.33255668,-4537624.65166098,1249907200,1,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,9
0,0.5,0.5,0,157022.468776426,2622358.92729617,2985317.14659866,1249344000,1,0,1814,569,0,1,0,0,0.760906040268456,0.238674496644295,0,0.000419463087248322,0,0,0.278776702013217,0.719957993955228,0,0.00126530403155576,0,0,348288000,899475200,0,1580800,0,10
0.25,0.5,0.25,0,286833.880026203,5518236.95312359,-1170736.7017515,1249927408,1,0,5676,92,0,5,1,0,0.983027364045722,0.0159334949774853,0,0.000865950813993765,0.000173190162798753,0,0.87188423345622,0.116353637074578,0,0.00632356723231402,0.00543856223688792,0,1089792000,145433600,0,7904000,6797808,11
0.5,0.5,0,0,313837.974314705,6405651.85328516,-4601508.88462527,1249907200,1,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,12
0,0.75,0.25,0,307056.60700609,6113359.8212852,-2543033.56313381,1249837808,1,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,13
