"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","index"
0,0,1,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1,1
0.25,0,0.75,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1,2
0.5,0,0.5,0,979.79878234315,2599.42143959347,4685416.01583542,1249024000,1,3
0.75,0,0.25,0,21773.6890508687,148775.249264939,4644029.34283412,1249952000,1,4
1,0,0,0,343057.622821482,5788621.6556215,-3483823.65670308,1249849600,1,5
0,0.25,0.75,0,24703.870368756,291472.869457971,4608454.00237468,1249772800,1,6
0.25,0.25,0.5,0,65222.0545183548,841973.946243537,4367498.88185707,1249491200,1,7
0.5,0.25,0.25,0,179333.40475995,2977099.24895998,2608459.84943977,1249113600,1,8
0.75,0.25,0,0,318937.808165381,6395739.33255668,-4537624.65166098,1249907200,1,9
0,0.5,0.5,0,157022.468776426,2622358.92729617,2985317.14659866,1249344000,1,10
0.25,0.5,0.25,0,286833.880026203,5518236.95312359,-1170736.7017515,1249927408,1,11
0.5,0.5,0,0,313837.974314705,6405651.85328516,-4601508.88462527,1249907200,1,12
0,0.75,0.25,0,307056.60700609,6113359.8212852,-2543033.56313381,1249837808,1,13
0.25,0.75,0,0,311984.981812264,6406868.02364803,-4633473.88311854,1249907200,1,14
0,1,0,0,310569.019803984,6407083.00401355,-4643249.43878166,1249907200,1,15
0,0,1,0,-9.54841335031756,-1460.34944649616,4685569.15863932,1248832000,2,16
0.25,0,0.75,0,-9.54841335031756,-1460.34944649616,4685569.15863932,1248832000,2,17
0.5,0,0.5,0,11356.6963203011,42808.7414027799,4678847.58552084,1249555200,2,18
0.75,0,0.25,0,182869.0876103,867729.204275216,4327399.39837692,1248556800,2,19
1,0,0,0,1047387.51974783,6227644.21934819,-4045737.46075193,1249894400,2,20
0,0.25,0.75,0,59589.1804143796,291472.869457971,4608454.00237468,1249772800,2,21
0.25,0.25,0.5,0,190569.737787115,977316.519514533,4290357.9267222,1249145600,2,22
0.5,0.25,0.25,0,652618.967563468,3770737.3528537,1648671.98661332,1248492800,2,23
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-4471901.9773286,1249952000,2,24
0,0.5,0.5,0,460732.784075903,2622358.92729617,2985317.14659866,1249344000,2,25
