livestock_score,sdr_score,swy_score
2765864.37331,23559.2561328,-106.895477329
2774496.6306,25641.6334621,-49.240226779
2747734.3115,25943.8531211,-27.142257726
2701171.68179,25444.606462,-8.776947058
2685182.98073,25206.5048607,-4.379150428
2752214.68992,20976.8598831,-909.566436832
2672266.17887,25077.6363502,-0.895202674
2244715.0888,5081.09505505,-164.970573456
2242517.63566,6009.84618389,-84.298530614
2220716.01614,7051.17252896,-29.495338476
2179537.73886,6944.09080935,-12.439117468
2162745.05574,6954.80803591,-5.634063758
2306770.19798,6026.6659977,-965.590339711
2162036.60027,6956.6854499,-5.376022376
2105207.09881,2961.3973104,-146.498024016
2027237.05357,2372.38517394,-94.149192843
2001133.65415,2623.58754388,-62.644271886
1940739.66824,3081.15708774,-15.071502722
1924659.77752,3120.64057061,-7.461578407
2079909.56168,2565.44047756,-320.3931351
1924620.30964,3120.5310791,-7.452240028
1950932.19703,1345.69644411,-130.48641208
1939850.00611,1405.49224444,-102.410133395
1899338.83009,1424.16214718,-74.084167516
1820942.7804,1576.50401706,-27.899826086
1818432.75282,1934.05504218,-9.463241614
1962489.43708,1406.15195381,-270.193412808
1823579.2401,1988.90792232,-9.003723181
1872743.2382,759.954404767,-136.954109226
1891012.54621,970.761073494,-113.496063266
1877841.33808,1219.84584732,-78.174057043
1778680.35379,1219.77672834,-30.395584143
1723683.93871,1217.92805931,-9.526947058
1878056.33467,774.021799923,-237.776176489
1723683.93871,1217.92805931,-9.526947058
3182986.20898,77886.8019377,-117.910278355
3182986.20898,77886.8019377,-117.910278355
3172931.91109,75377.2452308,-111.148582491
3144279.21439,70005.9620402,-95.87025455
3043993.43638,65173.2383389,-56.668083225
3183868.27881,78445.5580443,-143.810806312
2972442.51281,53707.0040892,-34.136421239
1856460.10634,657.726091087,-137.390602146
1867613.3796,806.535439904,-117.22560123
1855200.94433,1030.65684932,-82.903396642
1753331.37312,1068.60188686,-30.339141882
1702339.49203,1089.69327789,-9.531311072
1857528.95285,646.026734266,-240.401100196
1702339.49203,1089.69327789,-9.531311072
3084406.83776,54218.9158421,-87.64373783
3066815.27263,51517.585387,-79.76280979
3071120.45378,52521.3283733,-76.716117895
3056124.95878,50693.9360672,-70.359375036
3053296.34385,50344.1748057,-69.383483923
3098792.52332,56691.8364616,-92.429748572
3017667.1399,45938.6289371,-59.214225805
2748159.14381,21068.9964056,-202.037811318
2765864.37331,23559.2561328,-106.895477329
2764136.66011,24477.1200888,-62.17974094
2774599.42371,25531.4155203,-51.396263156
2774496.6306,25641.6334621,-49.240226779
2752214.68992,20976.8598831,-909.566436832
2776563.97866,25822.2760529,-48.274208102
2574875.72148,13332.351204,-247.914993324
2559904.69303,13932.2557133,-115.051666294
2570095.95551,14424.7872619,-106.989135776
2580230.10762,15656.3511034,-68.288879432
2559549.36803,15403.2749321,-51.542137183
2573346.70191,13111.550931,-983.560867368
2541893.03347,15043.9895776,-44.274620093
2444232.58839,9360.33084361,-264.878250157
2409448.7215,9038.80354083,-142.176750215
2389216.03048,8963.4927286,-105.044532808
2354657.2513,8647.84005106,-73.518913304
2358919.47675,8920.92873932,-65.827812231
2413301.8113,8465.1090219,-1070.71411139
2359666.32022,8950.18574396,-65.432868994
2272298.60102,5420.73902958,-228.081382782
2244715.0888,5081.09505505,-164.970573456
2236651.64383,5177.71160588,-134.107978852
2217008.98145,5148.68547175,-105.524665868
